0,1,2,3,4,5,6
283,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
284,"2 QUAD  2,33 GHZ",P5KPL-CM,1 TB - MECANICO,2 Gb,M,S/VALOR
285,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
286,"I3  - 3,90 GHZ",H110M-H-CF,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
288,"2 DUO  2,93 GHZ",G41M-ES2L,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
289,"2 QUAD  2,33 GHZ",P5KPL-CM,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
290,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 32 BIT
291,"I3 - 3,30 GHZ",H61M-S1,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - LITE
292,"I7 - 3,20 GHZ",H310M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
293,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
294,"I5 - 2,90 GHZ",H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
295,"I5 - 2,90 GHZ",H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
297,"I7 - 3,20 GHZ",H310M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
298,"I7 - 3,60 GHZ",H110M-H-CF,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
299,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
300,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
301,I3 - 3.50 GHz,IPPSB-SDQ/H61,1 TB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
302,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
303,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
304,"2 QUAD  2,33 GHZ",P5KPL-CM,500 GB - MECANICO,2 Gb,M,S/VALOR
305,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
